UHH (Umur Harapan Hidup),HLS (Harapan Lama Sekolah),RLS (Rata-rata Lama Sekolah),Pengeluaran
0.001501502,0.355239787,0.318059299,0.368432961
0.192942943,0.090586146,0.249326146,0.369332141
0.404654655,0.245115453,0.526954178,0.521122321
0,0.172291297,0.380053908,0.457494618
0.542792793,0.428063943,0.82884097,0.618062509
0.165915916,0.303730018,0.723719677,0.551994174
0.252252252,0.218472469,0.574123989,0.56745151
0.603603604,0.53285968,1,0.670685959
0.304054054,0.188277087,0.552560647,0.52476186
0.728978979,0.335701599,0.971698113,1
0.754504505,0.357015986,0.981132075,0.742063739
0.728228228,0.321492007,0.92722372,0.727291493
0.692942943,0.241563055,0.811320755,0.86876251
0.665165165,0.211367673,0.85309973,0.775547497
0.498498498,0.181172291,0.474393531,0.441651919
0.470720721,0.138543517,0.32884097,0.368647051
0.411411411,0.085257549,0.346361186,0.336790381
0.678678679,0.21669627,0.568733154,0.436513747
0.511261261,0.06749556,0.423180593,0.324929767
0.355855856,0.188277087,0.373315364,0.331951936
0.558558559,0.39964476,0.436657682,0.393139007
0.667417417,0.115452931,0.404312668,0.397720544
0.558558559,0.142095915,0.30458221,0.436899109
0.40990991,0.136767318,0.343665768,0.402815898
0.594594595,0.269982238,0.513477089,0.434372841
0.517267267,0.142095915,0.218328841,0.412107427
0.578078078,0.046181172,0.334231806,0.458436616
0.47972973,0.119005329,0.456873315,0.486568111
0.56981982,0.115452931,0.40296496,0.482500391
0.691441441,0.289520426,0.603773585,0.477276582
0.586336336,0.072824156,0.486522911,0.356272619
0.496996997,0.110124334,0.433962264,0.383633388
0.674924925,0.348134991,0.800539084,0.485540476
0.592342342,0.351687389,0.696765499,0.453897897
0.734234234,0.490230906,0.845013477,0.711705703
0.583333333,0.296625222,0.745283019,0.487638563
0.791291291,0.415630551,0.907008086,0.674239862
0.746996997,0.440497336,0.874663073,0.653130537
0.715465465,0.41740675,0.886792453,0.51007525
0.561561562,0.355239787,0.630727763,0.421613046
0.478228228,0.31616341,0.571428571,0.441908828
0.688438438,0.188277087,0.345013477,0.439553832
0.692942943,0.21669627,0.411051213,0.480916121
0.657657658,0.094138544,0.355795148,0.418658597
0.727477477,0,0.258760108,0.391854464
0.667417417,0.264653641,0.401617251,0.374598768
0.764264264,0.36589698,0.450134771,0.42987694
0.543543544,0.047957371,0.322102426,0.449359178
0.694444444,0.188277087,0.432614555,0.38607402
0.868618619,0.131438721,0.429919137,0.545914003
0.934684685,0.303730018,0.522911051,0.502239537
1,0.424511545,0.603773585,0.474921586
0.888138138,0.18294849,0.339622642,0.390013285
0.986486486,0.397868561,0.559299191,0.480188213
0.854354354,0.218472469,0.385444744,0.530199759
0.775525526,0.152753108,0.311320755,0.431975027
0.743243243,0.127886323,0.283018868,0.401488537
0.763513514,0.111900533,0.349056604,0.435999929
0.879129129,0.156305506,0.380053908,0.435957111
0.91966967,0.317939609,0.574123989,0.469740596
0.862612613,0.229129663,0.413746631,0.435057931
0.831081081,0.255772647,0.420485175,0.427864489
0.831081081,0.253996448,0.474393531,0.505193986
0.844594595,0.11722913,0.347708895,0.391083738
0.756756757,0.227353464,0.362533693,0.481644029
